,pce,pop,psavert,uempmed,unemploy
245,3190.9,243809,8.0,6.0,6936
246,3230.7,243981,7.5,6.2,6953
247,3238.5,244131,7.9,6.3,6929
248,3277.8,244279,7.5,6.4,6876
249,3280.4,244445,8.1,5.9,6601
250,3311.0,244610,7.7,5.9,6779
251,3335.6,244806,7.8,5.8,6546
252,3359.3,245021,7.9,6.1,6605
253,3384.3,245240,7.8,5.9,6843
254,3391.4,245464,8.2,5.7,6604
255,3430.4,245693,8.0,5.6,6568
256,3447.0,245884,7.7,5.7,6537
257,3476.3,246056,7.7,5.9,6518
258,3499.9,246224,8.0,5.6,6682
259,3503.9,246378,8.4,5.4,6359
260,3514.5,246530,8.9,5.4,6205
261,3558.6,246721,7.9,5.4,6468
262,3567.5,246906,7.6,5.3,6375
263,3582.4,247114,7.6,5.4,6577
264,3601.7,247342,7.7,5.6,6495
265,3636.8,247573,7.1,5.0,6511
266,3638.1,247816,7.5,4.9,6590
267,3650.0,248067,7.9,4.9,6630
268,3659.7,248281,8.0,4.8,6725
269,3700.7,248479,7.2,4.9,6667
270,3747.2,248659,7.4,5.1,6752
271,3744.8,248827,8.1,5.3,6651
272,3771.5,249012,7.8,5.1,6598
273,3786.7,249306,8.2,4.8,6797
274,3792.5,249565,8.0,5.2,6742
275,3821.3,249849,7.9,5.2,6590
276,3838.5,250132,8.0,5.4,6922
277,3865.0,250439,7.5,5.4,7188
278,3886.7,250751,7.5,5.6,7368
279,3887.1,251057,7.3,5.8,7459
280,3888.4,251346,7.4,5.7,7764
281,3877.8,251626,8.2,5.9,7901
282,3857.6,251889,8.7,6.0,8015
283,3883.3,252135,8.3,6.2,8265
284,3929.7,252372,7.4,6.7,8586
285,3923.9,252643,8.0,6.6,8439
286,3950.0,252913,7.7,6.4,8736
287,3957.1,253207,8.2,6.9,8692
288,3982.4,253493,7.6,7.0,8586
289,3985.4,253807,7.9,7.3,8666
290,4001.2,254126,8.1,6.8,8722
291,3992.9,254435,8.6,7.2,8842
292,4020.6,254718,8.4,7.5,8931
293,4037.7,254964,9.1,7.8,9198
294,4101.9,255214,8.8,8.1,9283
295,4116.8,255448,9.2,8.2,9454
296,4134.3,255703,9.2,8.3,9460
297,4149.0,255992,9.4,8.5,9415
298,4176.1,256285,9.4,8.8,9744
299,4195.0,256589,9.5,8.7,10040
300,4223.0,256894,9.1,8.6,9850
301,4239.3,257232,9.2,8.8,9787
302,4273.9,257548,8.2,8.6,9781
303,4303.5,257861,7.4,9.0,9398
304,4319.5,258147,7.3,9.0,9565
305,4355.6,258413,9.9,9.3,9557
306,4359.7,258679,8.3,8.6,9325
307,4374.3,258919,8.4,8.5,9183
308,4371.4,259152,8.3,8.5,9056
309,4412.4,259414,8.2,8.4,9110
310,4441.3,259680,7.7,8.1,9149
311,4458.8,259963,7.2,8.3,9121
312,4487.7,260255,7.0,8.2,8930
313,4499.9,260566,7.1,8.2,8763
314,4530.5,260867,6.3,8.3,8714
315,4552.0,261163,5.6,8.0,8750
316,4573.4,261425,5.6,8.3,8542
317,4590.7,261674,8.4,8.3,8477
318,4604.8,261919,6.4,8.6,8630
319,4652.3,262123,5.9,9.2,8583
320,4665.4,262352,6.2,9.3,8470
321,4690.7,262631,5.8,9.1,8331
322,4689.2,262877,7.1,9.2,7915
323,4728.8,263152,6.3,9.3,7927
324,4740.8,263436,6.4,9.0,7946
325,4783.0,263724,5.9,8.9,7933
326,4795.5,264017,6.2,9.2,7734
327,4833.3,264301,6.5,10.0,7632
328,4846.0,264559,6.4,9.0,7375
329,4862.3,264804,6.5,8.7,7230
330,4871.9,265044,6.9,8.0,7375
331,4871.7,265270,7.3,8.1,7187
332,4906.5,265495,7.0,8.3,7153
333,4911.5,265755,6.3,8.3,7645
334,4954.4,265998,6.5,9.1,7430
335,4999.0,266270,6.1,7.9,7427
336,4991.8,266557,6.4,8.5,7527
337,5027.1,266843,6.1,8.3,7484
338,5042.5,267152,6.1,7.9,7478
339,5035.9,267456,6.5,8.2,7328
340,5077.8,267715,6.0,8.0,7426
341,5120.1,267943,5.5,8.3,7423
342,5108.9,268151,6.1,8.3,7491
343,5156.1,268364,6.1,7.8,7313
344,5196.4,268595,6.0,8.3,7318
345,5231.6,268853,5.0,8.6,7415
346,5247.2,269108,6.1,8.6,7423
347,5253.7,269386,6.5,8.3,7095
348,5275.8,269667,6.1,8.3,7337
349,5299.0,269976,5.9,8.4,6882
350,5320.0,270284,6.0,8.5,6979
351,5351.5,270581,5.8,8.3,7031
352,5375.0,270878,5.8,7.7,7236
353,5401.7,271125,5.7,7.8,7253
354,5434.9,271360,5.6,7.8,7158
355,5457.7,271585,5.7,8.1,7102
356,5477.6,271821,5.8,7.9,7000
357,5482.8,272083,5.9,8.3,6873
358,5484.3,272342,6.2,8.0,6655
359,5518.2,272622,6.0,8.0,6799
360,5573.0,272912,5.5,8.3,6655
361,5611.8,273237,5.4,7.8,6608
362,5625.6,273553,5.6,8.2,6656
363,5661.2,273852,5.6,7.7,6454
364,5685.2,274126,5.8,7.6,6308
365,5716.4,274372,5.8,7.5,6476
366,5714.4,274626,6.7,7.4,6368
367,5748.4,274838,6.8,7.0,6306
368,5775.0,275047,6.9,6.8,6422
369,5812.9,275304,6.6,6.7,5941
370,5863.3,275564,6.3,6.0,6047
371,5897.2,275836,6.2,6.9,6212
372,5915.6,276115,6.3,6.7,6259
373,5951.0,276418,6.2,6.8,6179
374,5991.8,276714,5.8,6.7,6300
375,6025.8,277003,5.6,5.8,6280
376,6042.7,277277,5.7,6.6,6100
377,6098.2,277526,5.2,6.8,6032
378,6099.1,277790,5.7,6.9,5976
379,6128.2,277992,5.6,6.8,6111
380,6159.7,278198,5.3,6.8,5783
381,6223.6,278451,4.5,6.2,6004
382,6253.4,278717,4.3,6.5,5796
383,6281.9,279001,4.2,6.3,5951
384,6309.5,279295,4.1,5.8,6025
385,6354.8,279602,4.0,6.5,5838
386,6407.4,279903,3.5,6.0,5915
387,6431.2,280203,3.9,6.1,5778
388,6467.2,280471,4.1,6.2,5716
389,6568.2,280716,3.7,5.8,5653
390,6564.7,280976,4.7,5.8,5708
391,6648.7,281190,4.2,6.1,5858
392,6714.8,281409,3.9,6.0,5733
393,6701.0,281653,4.4,6.1,5481
394,6737.2,281877,4.2,5.8,5758
395,6773.6,282126,4.2,5.7,5651
396,6793.7,282385,4.6,6.0,5747
397,6828.7,282653,4.6,6.3,5853
398,6913.1,282932,3.8,5.2,5625
399,6919.6,283201,4.0,6.1,5534
400,6934.5,283453,3.8,6.1,5639
401,6979.1,283696,3.5,6.0,5634
402,7009.8,283920,4.0,5.8,6023
403,7029.3,284137,4.1,6.1,6089
404,7022.1,284350,4.5,6.6,6141
405,7036.2,284581,4.3,5.9,6271
406,7083.1,284810,3.7,6.3,6226
407,7097.1,285062,3.7,6.0,6484
408,7109.2,285309,5.0,6.8,6583
409,7146.1,285570,6.1,6.9,7042
410,7054.8,285843,6.3,7.2,7142
411,7250.2,286098,2.7,7.3,7694
412,7209.6,286341,3.4,7.7,8003
413,7190.0,286570,3.8,8.2,8258
414,7217.7,286788,5.6,8.4,8182
415,7259.7,286994,5.3,8.3,8215
416,7276.7,287190,5.3,8.4,8304
417,7345.6,287397,5.1,8.9,8599
418,7321.8,287623,5.6,9.5,8399
419,7366.1,287864,5.4,11.0,8393
420,7424.2,288105,4.6,8.9,8390
421,7449.0,288360,4.4,9.0,8304
422,7426.1,288618,4.9,9.5,8251
423,7469.3,288870,4.7,9.6,8307
424,7499.8,289106,4.7,9.3,8520
425,7552.6,289313,4.5,9.6,8640
426,7579.5,289518,4.5,9.6,8520
427,7573.6,289714,4.7,9.5,8618
428,7627.5,289911,4.6,9.7,8588
429,7661.7,290125,4.6,10.2,8842
430,7669.2,290346,5.1,9.9,8957
431,7722.9,290584,4.9,11.5,9266
432,7783.8,290820,5.5,10.3,9011
433,7878.9,291072,5.3,10.1,8896
434,7874.0,291321,4.5,10.2,8921
435,7890.6,291574,4.6,10.4,8732
436,7950.4,291807,4.7,10.3,8576
437,7974.3,292008,4.8,10.4,8317
438,8037.3,292192,4.5,10.6,8370
439,8072.1,292368,4.5,10.2,8167
440,8121.0,292561,4.5,10.2,8491
441,8141.6,292779,4.7,9.5,8170
442,8212.9,292997,4.7,9.9,8212
443,8204.6,293223,5.0,11.0,8286
444,8270.7,293463,4.5,8.9,8136
445,8294.4,293719,4.6,9.2,7990
446,8373.0,293971,3.9,9.6,7927
447,8417.9,294230,3.8,9.5,8061
448,8458.4,294466,3.4,9.7,7932
449,8516.5,294694,6.3,9.5,7934
450,8521.2,294914,2.9,9.4,7784
451,8575.7,295105,2.7,9.2,7980
452,8622.5,295287,2.7,9.3,7737
453,8715.9,295490,2.1,9.0,7672
454,8680.6,295704,3.0,9.1,7651
455,8775.3,295936,2.2,9.0,7524
456,8867.9,296186,1.9,8.8,7406
457,8872.6,296440,2.4,9.2,7345
458,8923.6,296707,2.3,8.4,7553
459,8959.6,296972,2.6,8.6,7453
460,8987.7,297207,2.7,8.5,7566
461,9026.8,297431,2.8,8.7,7279
462,9100.1,297647,3.7,8.6,7064
463,9134.7,297854,3.8,9.1,7184
464,9168.1,298060,3.7,8.7,7072
465,9223.3,298281,3.4,8.4,7120
466,9254.1,298496,3.2,8.5,6980
467,9283.8,298739,3.4,7.3,7001
468,9360.4,298996,2.9,8.0,7175
469,9368.6,299263,3.0,8.4,7091
470,9393.9,299554,3.0,8.0,6847
471,9413.3,299835,3.1,7.9,6727
472,9431.2,300094,3.2,8.3,6872
473,9516.5,300340,3.0,7.5,6762
474,9553.1,300574,3.0,8.3,7116
475,9590.8,300802,3.3,8.5,6927
476,9631.6,301021,3.6,9.1,6731
477,9670.6,301254,3.2,8.6,6850
478,9708.9,301483,3.0,8.2,6766
479,9723.3,301739,2.8,7.7,6979
480,9759.6,302004,2.8,8.7,7149
481,9800.6,302267,2.6,8.8,7067
482,9837.5,302546,2.8,8.7,7170
483,9853.9,302807,2.8,8.4,7237
484,9928.6,303054,2.5,8.6,7240
485,9947.6,303287,3.0,8.4,7645
486,9963.2,303506,3.4,9.0,7685
487,9955.7,303711,3.9,8.7,7497
488,10004.2,303907,4.0,8.7,7822
489,10044.6,304117,3.5,9.4,7637
490,10093.3,304323,7.9,7.9,8395
491,10149.4,304556,5.6,9.0,8575
492,10151.1,304798,4.4,9.7,8937
493,10140.3,305045,3.7,9.7,9438
494,10083.2,305309,4.4,10.2,9494
495,9983.3,305554,5.4,10.4,10074
496,9851.2,305786,6.3,9.8,10538
497,9744.2,306004,6.5,10.5,11286
498,9792.1,306208,6.5,10.7,12058
499,9775.7,306402,5.9,11.7,12898
500,9742.9,306588,6.1,12.3,13426
501,9741.9,306787,6.7,13.1,13853
502,9759.7,306984,8.1,14.2,14499
503,9807.6,307206,6.7,17.2,14707
504,9835.2,307439,6.0,16.0,14601
505,9961.9,307685,4.9,16.3,14814
506,9875.4,307946,5.9,17.8,15009
507,9924.6,308189,5.4,18.9,15352
508,9946.1,308418,5.7,19.8,15219
509,10000.6,308633,5.7,20.1,15098
510,10003.4,308833,5.6,20.0,15046
511,10034.7,309027,5.2,19.9,15113
512,10095.5,309212,5.0,20.4,15202
513,10106.9,309191,5.6,22.1,15325
514,10140.2,309376,6.0,22.3,14849
515,10165.9,309562,5.9,25.2,14474
516,10184.3,309767,5.9,22.3,14512
517,10247.1,309989,5.8,21.0,14648
518,10268.9,310218,5.6,20.3,14579
519,10343.7,310451,5.4,21.2,14516
520,10399.8,310657,5.3,21.0,15081
521,10436.1,310853,5.9,21.9,14348
522,10474.7,311042,6.2,21.6,14046
523,10512.4,311205,6.4,21.1,13828
524,10583.5,311367,6.0,21.5,13728
525,10624.6,311548,5.9,20.9,13956
526,10653.1,311729,5.9,21.6,13853
527,10676.4,311923,6.1,22.3,13958
528,10727.1,312139,6.3,22.0,13756
529,10745.6,312355,6.2,22.4,13806
530,10790.6,312587,5.7,22.0,13929
531,10827.6,312810,5.5,20.5,13599
532,10828.7,313003,5.6,20.9,13309
533,10827.3,313191,6.4,20.5,13071
534,10905.5,313373,6.6,21.0,12812
535,10979.2,313537,6.7,19.8,12828
536,10994.3,313705,6.9,19.2,12696
537,11030.2,313881,7.0,19.1,12636
538,11029.0,314052,7.0,19.9,12668
539,11032.5,314247,7.1,20.1,12688
540,11074.8,314449,6.6,17.5,12657
541,11104.8,314673,6.4,18.5,12449
542,11179.6,314909,6.5,18.8,12106
543,11199.9,315129,7.1,19.7,12141
544,11222.8,315341,8.2,18.5,12026
545,11245.2,315532,10.5,17.6,12272
546,11303.2,315701,4.5,16.2,12497
547,11371.4,315869,4.7,17.5,11967
548,11378.8,316041,4.9,17.7,11653
549,11373.3,316220,5.1,17.1,11735
550,11407.1,316395,5.2,17.0,11671
551,11462.4,316594,5.3,16.6,11736
552,11484.7,316799,5.1,16.3,11357
553,11511.6,317019,5.3,16.8,11241
554,11559.6,317253,5.2,16.5,11251
555,11602.1,317470,4.7,16.1,11161
556,11671.5,317679,4.3,17.0,10814
557,11686.3,317867,4.1,17.0,10376
558,11663.9,318032,4.9,15.9,10280
559,11714.4,318200,5.0,16.2,10387
560,11807.1,318373,4.8,15.9,10384
561,11825.2,318552,5.0,15.6,9696
562,11864.3,318728,5.1,14.5,9761
563,11922.6,318927,5.1,13.2,9453
564,11944.4,319133,5.1,13.5,9648
565,12017.0,319354,4.7,13.3,9568
566,12044.6,319588,4.6,13.3,9237
567,12096.4,319804,4.6,13.5,8983
568,12142.2,320013,4.5,12.8,9071
569,12122.0,320201,5.0,12.6,8688
570,12080.8,320367,5.5,13.4,8979
571,12095.9,320534,5.7,13.1,8705
572,12161.5,320707,5.2,12.2,8575
573,12158.9,320887,5.6,11.7,8549
